Sample ID,Variant,TP,FP,FN
N-3,RECORDS,2,17,9
P-3,RECORDS,1,12,14
S-3,RECORDS,1,10,12
H-3,RECORDS,0,18,22
R-3,RECORDS,1,12,7
J-3,RECORDS,1,11,15
M-3,RECORDS,2,11,9
A-3,RECORDS,2,9,17
F-3,RECORDS,2,13,7
O-3,RECORDS,1,12,9
L-3,RECORDS,1,13,17
Q-3,RECORDS,1,13,10
A-4,RECORDS,1,12,18
E-3,RECORDS,1,12,21
