Sample ID,Variant,TP,FP,FN
N-3,RECORDS,3715,17172,866
H-3,RECORDS,107,18406,7343
S-3,RECORDS,4085,16384,1013
P-3,RECORDS,3511,16359,898
R-3,RECORDS,3770,16868,833
J-3,RECORDS,5141,15203,1503
M-3,RECORDS,3276,15900,851
A-3,RECORDS,5655,14722,1454
F-3,RECORDS,4736,15623,1181
O-3,RECORDS,3830,16524,914
Q-3,RECORDS,3793,16715,799
A-4,RECORDS,5644,14728,1423
L-3,RECORDS,5145,15376,1459
E-3,RECORDS,5954,14085,1729
