Sample ID,Variant,TP,FP,FN
H-3,RECORDS,0,514,212
P-3,RECORDS,61,388,107
N-3,RECORDS,61,436,106
S-3,RECORDS,58,399,107
R-3,RECORDS,65,403,82
J-3,RECORDS,66,413,135
M-3,RECORDS,57,377,91
A-3,RECORDS,76,392,169
F-3,RECORDS,67,394,114
O-3,RECORDS,61,409,115
L-3,RECORDS,64,389,131
Q-3,RECORDS,62,412,101
A-4,RECORDS,87,393,153
E-3,RECORDS,70,371,142
